지점,일시,평균기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
184,2019-09-01,23.3,26.3,26.1,4.2,2
184,2019-09-02,24.1,26.6,25.7,6.8,2.4
184,2019-09-03,24.8,26.7,13.9,6.2,2.2
184,2019-09-04,24.7,27.9,43,4.5,1.6
184,2019-09-05,26.2,30.4,7,4.2,1.6
184,2019-09-06,26.8,28.6,68.8,10.6,4.2
184,2019-09-07,27.6,30.3,34.3,12.4,6.5
184,2019-09-08,24.5,26.3,19,4.4,2
184,2019-09-09,26.2,29,24.7,5.3,2.7
184,2019-09-10,27,29.4,0,3.9,1.7
184,2019-09-11,26,29.3,5,3.8,1.8
184,2019-09-12,24.1,25.1,.6,4.9,3.2
184,2019-09-13,24,26.7,,7,3
184,2019-09-14,24.3,26.9,,4.1,2.1
184,2019-09-15,24.6,26.9,,3.7,1.9
184,2019-09-16,24.6,27,0,4,1.9
184,2019-09-17,23.8,25.8,,6,2.8
184,2019-09-18,23.3,27.6,,4.6,2.4
184,2019-09-19,22.8,25.9,,7.3,3.2
184,2019-09-20,22.5,25,0,7.6,3.9
184,2019-09-21,20.5,21.7,156,10.4,5.3
184,2019-09-22,20.4,21.7,126.2,17.4,9.2
184,2019-09-23,21,24.5,0,5.1,2.5
184,2019-09-24,20.4,25.2,,3.5,2
184,2019-09-25,21.8,25.2,,5.7,2.5
184,2019-09-26,23.8,27.7,1,6.5,3.6
184,2019-09-27,23.8,25.7,36,5.6,3.1
184,2019-09-28,24.1,25.6,.7,4.6,2
184,2019-09-29,24.1,26.3,0,3.9,1.5
184,2019-09-30,23.6,26.8,22.6,4.2,1.2
185,2019-09-01,22.6,25.3,10.6,6.3,2.7
185,2019-09-02,24.8,28,51.7,13.3,3.8
185,2019-09-03,24.8,27.5,39.3,11.7,3
185,2019-09-04,24.2,25.9,67.9,8.5,4.8
185,2019-09-05,26.3,29.6,0,7,4.6
185,2019-09-06,26,27.6,36.1,19.7,8.6
185,2019-09-07,25.3,26.4,4.3,26.9,11.5
185,2019-09-08,24.1,27.3,16.3,5.2,2.9
185,2019-09-09,26,29.8,62.9,9.5,6.7
185,2019-09-10,26.2,28.5,0,8.7,5.8
185,2019-09-11,25.5,28.4,1.2,7.6,4.9
185,2019-09-12,25.2,29.4,,4.8,2.4
185,2019-09-13,24.1,28.9,,8.1,3.5
185,2019-09-14,23.4,25.9,,7.8,5.1
185,2019-09-15,23.8,25.7,,7.7,5.5
185,2019-09-16,23.3,25.5,,7.1,5
185,2019-09-17,23.8,27.7,,10,4.4
185,2019-09-18,22.2,24.8,,14.2,7
185,2019-09-19,22.6,27.4,,8.5,5.4
185,2019-09-20,22.6,27.7,.7,9,5.2
185,2019-09-21,19.9,21.7,35.5,15.3,9
185,2019-09-22,20.5,21.7,34.1,22.7,14.9
185,2019-09-23,20.7,23.2,0,12.9,8.3
185,2019-09-24,20.5,23.5,,6.6,4.7
185,2019-09-25,21,26,,5.7,3.5
185,2019-09-26,23.7,28.8,,7.3,4.6
185,2019-09-27,23.7,26.4,.7,4.9,2.3
185,2019-09-28,24.6,27.8,,4.5,2.3
185,2019-09-29,23.7,26.5,.2,5.4,3.3
185,2019-09-30,23.7,26.5,38.6,4.6,2.7
188,2019-09-01,22.8,25.3,25.5,4.9,1.9
188,2019-09-02,25,27.8,23.1,8.9,2.9
188,2019-09-03,24.9,26.6,34.4,4.1,1.5
188,2019-09-04,24.7,26.7,15.5,5.2,2.2
188,2019-09-05,25.5,28.8,41.9,7.1,1.7
188,2019-09-06,26.6,28.6,43.7,15.3,5.9
188,2019-09-07,25.9,28.1,2.7,17.7,7.9
188,2019-09-08,23.5,25.3,30.3,3.7,1.8
188,2019-09-09,26.2,28.8,3.5,6.5,4.1
188,2019-09-10,26.4,29.4,,5.3,3
188,2019-09-11,26.3,30.1,,3.9,1.9
188,2019-09-12,24.4,26,,6.9,5
188,2019-09-13,24,25.9,,6,4.3
188,2019-09-14,24.1,27.7,,5,2.6
188,2019-09-15,24.9,28.8,,5.1,2.5
188,2019-09-16,24.7,27.7,0,5.2,3.1
188,2019-09-17,23.5,25.9,,6.4,4.1
188,2019-09-18,23,27.8,,7.4,3.4
188,2019-09-19,23,26.3,,6.9,4.4
188,2019-09-20,23.1,26.2,1.2,8,5.2
188,2019-09-21,21.2,22.7,151.5,9.7,6.9
188,2019-09-22,20.5,22.4,152,17.6,10
188,2019-09-23,20,23.6,0,5.2,2.8
188,2019-09-24,19.6,24.3,,,
188,2019-09-25,21.4,25.5,,4.6,3.3
188,2019-09-26,24.3,26.5,0,6.3,4.2
188,2019-09-27,23.8,25.3,73,5.9,3.1
188,2019-09-28,25.2,28.5,8.6,3.8,1.6
188,2019-09-29,24.4,27.8,2.5,3.5,1.6
188,2019-09-30,24.1,27.2,3.9,3.3,1.4
189,2019-09-01,22.6,25,18.7,3.4,1.7
189,2019-09-02,25,27.5,14.6,4.2,1.7
189,2019-09-03,25.5,27.7,9.5,3,1.3
189,2019-09-04,25,27,28.9,2.9,1.1
189,2019-09-05,26.4,28.8,15.7,2.6,1.2
189,2019-09-06,26,27.1,54.1,5.9,3.4
189,2019-09-07,25.1,26.9,6.9,12.4,5.2
189,2019-09-08,24.2,25.8,29.5,3.2,1.4
189,2019-09-09,25.6,28.2,21.9,3.8,2.3
189,2019-09-10,26.4,28.6,,3,1.2
189,2019-09-11,27,29.4,,3.1,1.2
189,2019-09-12,24.5,27.2,0,4.9,3
189,2019-09-13,24.2,26.9,,6,3.3
189,2019-09-14,24.9,28,,3.3,1.8
189,2019-09-15,25.1,27.9,,3.1,1.3
